t,i,j,trade_usd_thousands,qty_tons,i_iso3,i_name,j_iso3,j_name,direction
2010,752,96,3720.218,313.59000000000003,SWE,Sweden,BRN,Brunei Darussalam,partner_to_asean
2010,752,104,9873.116999999997,714.3370000000001,SWE,Sweden,MMR,Myanmar,partner_to_asean
2010,752,116,7802.59,6894.889999999999,SWE,Sweden,KHM,Cambodia,partner_to_asean
2010,752,360,736620.8319999998,162575.46099999963,SWE,Sweden,IDN,Indonesia,partner_to_asean
2010,752,418,1240.9589999999998,98.87100000000002,SWE,Sweden,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,752,458,647153.2209999998,118727.804,SWE,Sweden,MYS,Malaysia,partner_to_asean
2010,752,608,142183.5439999999,48365.949999999946,SWE,Sweden,PHL,Philippines,partner_to_asean
2010,752,702,1239607.5129999989,283400.32100000005,SWE,Sweden,SGP,Singapore,partner_to_asean
2010,752,704,330283.1109999999,55321.78899999994,SWE,Sweden,VNM,Viet Nam,partner_to_asean
2010,752,764,665994.4520000007,233334.64099999936,SWE,Sweden,THA,Thailand,partner_to_asean
2010,764,56,1049025.8139999993,189685.32099999953,THA,Thailand,BEL,Belgium,asean_to_partner
2010,764,156,30685176.488000028,17335907.481000036,THA,Thailand,CHN,China,asean_to_partner
2010,764,251,2691171.961999997,710459.1719999962,THA,Thailand,FRA,France,asean_to_partner
2010,764,276,5130945.94900001,567479.5080000008,THA,Thailand,DEU,Germany,asean_to_partner
2010,764,380,1754260.206999999,340765.5869999996,THA,Thailand,ITA,Italy,asean_to_partner
2010,764,392,20995452.027999993,7617219.198000001,THA,Thailand,JPN,Japan,asean_to_partner
2010,764,410,4080244.283000001,3052063.051000007,THA,Thailand,KOR,Rep. of Korea,asean_to_partner
2010,764,528,4037751.067999991,490892.8839999978,THA,Thailand,NLD,Netherlands,asean_to_partner
2010,764,616,855480.433000001,111615.3099999999,THA,Thailand,POL,Poland,asean_to_partner
2010,764,724,1501464.235999999,378102.16099999915,THA,Thailand,ESP,Spain,asean_to_partner
2010,764,752,623963.607000001,101919.54400000004,THA,Thailand,SWE,Sweden,asean_to_partner
2010,764,826,4365497.720999994,735130.1020000016,THA,Thailand,GBR,United Kingdom,asean_to_partner
2010,764,842,23526227.85400005,3620265.5969999954,THA,Thailand,USA,USA,asean_to_partner
2010,826,96,255601.01899999988,6639.244000000031,GBR,United Kingdom,BRN,Brunei Darussalam,partner_to_asean
2010,826,104,15221.177,1098.4789999999991,GBR,United Kingdom,MMR,Myanmar,partner_to_asean
