t,i,j,trade_usd_thousands,qty_tons
2014,616,418,1067.4599999999998,1502.572
2014,616,458,253686.21399999998,48539.33199999981
2014,616,608,102256.90399999998,77236.16599999998
2014,616,702,1068578.8769999996,525223.1290000005
2014,616,704,192944.48999999993,103678.39999999986
2014,616,764,269557.7449999999,65267.71299999986
2014,702,56,3357731.8659999906,676175.2910000004
2014,702,156,35885496.9440001,12668577.433000013
2014,702,251,3861317.4450000064,1399966.302000005
2014,702,276,6462144.37700001,158691.03299999968
2014,702,380,392242.8239999997,101646.2289999998
2014,702,392,7626780.2799999975,902874.8960000016
2014,702,410,12648460.158999974,6089146.519999997
2014,702,528,4261674.271999993,207527.62399999957
2014,702,616,921767.3460000008,328653.5909999998
2014,702,724,570758.3379999995,47766.02699999971
2014,702,752,131829.2899999999,17301.07300000001
2014,702,826,2182334.0560000036,461530.840999999
2014,702,842,15804139.874999985,826958.8330000004
2014,704,56,730206.0709999994,263761.37700000004
2014,704,156,19010737.89200001,21450912.22799992
2014,704,251,4058280.941999991,598561.768000002
2014,704,276,7705132.55700001,800434.750000003
2014,704,380,3018517.4229999944,348426.7029999994
2014,704,392,15540057.912999995,7564290.758000006
2014,704,410,7737818.25799999,3333754.0019999966
2014,704,528,3085535.7409999976,299170.0189999997
2014,704,616,1260247.040000002,153251.9450000001
2014,704,724,2852738.2380000018,286749.9029999995
2014,704,752,990987.2609999984,54701.09499999997
2014,704,826,4082904.998999995,420050.7049999999
2014,704,842,31885147.831999946,3775352.5949999997
2014,724,96,4564.756000000001,2815.987000000008
2014,724,104,24118.21000000001,6213.610000000006
2014,724,116,18143.41,9201.600000000017
2014,724,360,650336.697,115277.68700000003
2014,724,418,1927.373,489.96799999999985
2014,724,458,762315.130999999,349295.59100000025
2014,724,608,479443.69900000055,141049.29599999974
2014,724,702,1174890.430000004,661508.4040000021
2014,724,704,482191.22300000006,135570.71800000002
2014,724,764,687368.5990000006,215335.66799999934
2014,752,96,6760.393000000004,391.7429999999999
2014,752,104,35465.52400000004,9723.57400000001
2014,752,116,10530.797000000019,10643.898999999996
2014,752,360,646104.6679999987,239003.6599999998
2014,752,418,2532.292999999999,293.35799999999995
2014,752,458,577278.8300000003,129707.60999999999
2014,752,608,130118.29699999969,61727.49499999999
2014,752,702,1023121.8859999994,193239.73599999957
2014,752,704,262527.482,64067.12499999987
2014,752,764,713729.4280000001,168034.43999999954
2014,764,56,1411894.6689999984,239470.5580000003
2014,764,156,35296598.814999945,22861110.357999947
2014,764,251,3002575.4520000042,469173.61399999977
2014,764,276,6302973.375999993,585697.9160000009
2014,764,380,1785757.337000001,440461.3119999985
2014,764,392,21921334.208000038,8984581.169000043
2014,764,410,5366491.564999992,4985893.496000002
2014,764,528,4223025.717999999,564895.5450000003
2014,764,616,836190.1149999991,117607.25300000008
2014,764,724,1155429.4219999989,259621.2519999997
2014,764,752,646032.2049999996,98483.71599999996
2014,764,826,4148879.447000001,740308.8410000022
2014,764,842,27930347.242999967,3735183.9019999932
2014,826,96,321050.5739999998,5225.331000000024
2014,826,104,42650.75199999996,9770.338000000002
2014,826,116,31532.690000000024,2909.318000000002
2014,826,360,940743.438000001,388921.5819999977
2014,826,418,9805.137999999999,925.4489999999998
2014,826,458,2305747.5520000015,354894.4330000001
2014,826,608,595723.055,67995.37099999993
2014,826,702,6105757.844000007,485698.67799999996
2014,826,704,734918.9609999997,264969.75099999976
2014,826,764,2646600.1199999955,1372954.265
2014,842,96,326752.522,20196.709000000068
2014,842,104,124798.85900000004,60930.96899999993
2014,842,116,428813.3750000001,111276.79700000002
2014,842,360,8045795.458999992,6679447.297999971
2014,842,418,42768.25799999997,6573.764000000003
2014,842,458,15941441.05099998,2979577.106000002
2014,842,608,8092921.265999985,5140040.797999988
2014,842,702,36091707.07399999,4657839.262000002
2014,842,704,6391995.397000018,4556619.474999999
2014,842,764,13238557.258999998,4453021.592000004
2015,56,96,12000.290999999992,4170.259000000002
2015,56,104,19382.652999999995,18179.95800000002
2015,56,116,69742.25700000001,10832.346000000021
2015,56,360,573518.9549999996,262052.0119999996
2015,56,418,20873.271,2780.072000000002
2015,56,458,663114.7549999997,320808.0309999997
2015,56,608,194877.88099999982,69132.57400000007
2015,56,702,1276312.8489999988,471400.4209999995
2015,56,704,492758.98499999935,229242.3
2015,56,764,889602.8170000025,213980.67600000036
2015,96,56,117.05599999999998,93.81000000000002
2015,96,156,104923.21800000005,328689.87599999964
2015,96,251,1435.3179999999998,558.9329999999993
2015,96,276,2537.0189999999993,110.63500000000003
2015,96,380,127.62400000000001,6.837000000000001
2015,96,392,2168878.1770000015,4355956.781
2015,96,410,918874.0659999996,1973378.5740000003
2015,96,528,3848.919,28.187000000000015
2015,96,616,86.914,7.332999999999998
2015,96,724,36.447,0.67
2015,96,752,53.85200000000001,0.6940000000000001
2015,96,826,56716.56599999998,144.24000000000015
2015,96,842,58882.736000000026,18672.674000000035
2015,104,56,38781.60399999999,68271.88200000003
2015,104,156,6459870.669000002,12053916.445999986
2015,104,251,120796.85299999999,35849.81099999992
2015,104,276,260572.30599999998,57586.70299999998
2015,104,380,67150.739,17668.28300000001
2015,104,392,928395.2710000002,101396.42000000003
2015,104,410,536754.501,69464.18199999994
2015,104,528,75099.91000000005,18131.42300000005
2015,104,616,41259.521,38021.48599999997
2015,104,724,92308.22200000005,16603.770999999997
2015,104,752,13506.352999999996,4834.466000000001
2015,104,826,165317.068,36413.09400000002
2015,104,842,173399.7630000001,21352.803999999982
2015,116,56,99177.80500000007,19946.94800000001
2015,116,156,727210.0270000005,320767.9510000001
2015,116,251,698162.395,100940.3829999999
2015,116,276,1514889.1589999995,116258.74800000005
2015,116,380,392273.801,49048.28099999999
2015,116,392,1142508.097,61612.34499999994
2015,116,410,241493.02999999994,32411.65500000001
2015,116,528,303307.7899999977,51284.037999999215
2015,116,616,256600.2009999999,49968.47199999992
2015,116,724,540542.7270000001,37376.62699999988
2015,116,752,83522.77800000002,10369.656000000006
2015,116,826,1545506.1119999983,93476.28600000005
2015,116,842,3770839.1690000026,227718.1279999996
2015,156,96,507072.8629999987,299668.3500000004
2015,156,104,9308432.934999999,4822199.614999985
2015,156,116,3711192.8950000154,1227923.6729999953
2015,156,360,30387248.062000025,18709440.404000003
2015,156,418,1302379.603000001,493113.7209999991
2015,156,458,35392894.518999904,15476988.222000007
2015,156,608,26669970.29999996,15404790.897000011
2015,156,702,46745084.689999945,20690123.19099999
2015,156,704,50102892.690000065,23367935.27799993
2015,156,764,39938669.25600006,15070291.273000043
2015,251,96,87632.30099999999,6277.257000000003
2015,251,104,214218.017,25764.662000000004
2015,251,116,95649.56699999984,17439.660000000036
2015,251,360,3045698.1539999982,474368.7659999995
