country_iso3,country,year,BX.KLT.DINV.CD.WD,NE.TRD.GNFS.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,SP.POP.TOTL
CHN,China,2011,280072219149.934,49.9458272253643,7671757207851.29,8441318020902.42,5703.76027973346,1345035000.0
CHN,China,2012,241213868161.42,47.4802130784317,8673664713189.24,9104482675356.36,6405.0574241349,1354190000.0
CHN,China,2013,290928431467.003,45.9160413795571,9743124247267.24,9812695262900.89,7147.03518622344,1363240000.0
CHN,China,2014,268097181064.335,44.0684564812532,10674533168257.4,10544908798424.0,7781.06597484974,1371860000.0
CHN,China,2015,242489331627.398,38.6971848362625,11280814787468.9,11280814787468.9,8175.33285077393,1379860000.0
CHN,China,2016,174749584584.05,36.177170692978,11456024084962.0,12045152668727.3,8254.86859320357,1387790000.0
CHN,China,2017,166083755721.648,36.95085261586,12537559062282.9,12875216222853.4,8979.67652709856,1396215000.0
CHN,China,2018,235365050036.341,36.8943843914718,14147765772963.8,13745158275136.7,10085.6638148819,1402760000.0
CHN,China,2019,187169822364.755,35.1994202738836,14560167101283.4,14579283528148.4,10342.9009524335,1407745000.0
CHN,China,2020,253095616058.58,34.0389507864581,14996414166715.1,14920466234565.3,10627.4637989619,1411100000.0
CHN,China,2021,344074977062.48,36.5206911762676,18201698719564.0,16199162892908.6,12887.4357242941,1412360000.0
CHN,China,2022,190203789092.51,37.440719876366,18316765021690.2,16706875253648.5,12970.6056414327,1412175000.0
CHN,China,2023,51338076801.59,36.1051923691138,18270356654533.2,17611526369126.6,12951.1782397043,1410710000.0
CHN,China,2024,18556141172.84,37.1984201388065,18743803170827.2,18488114837769.3,13303.1481543868,1408975000.0
EUU,European Union,2000,634200506229.248,71.5705362040384,7288481048952.25,11319869909643.6,16976.0452668705,429339162.0
EUU,European Union,2001,366360079035.895,70.7299712766562,7407615944962.45,11564508558513.0,17230.6480095869,429909307.0
EUU,European Union,2002,295298465434.405,68.4361613375131,8100430284893.67,11691451596944.9,18797.8116316074,430924112.0
EUU,European Union,2003,293768597752.735,67.3582061795863,9956860723577.65,11800997102454.8,23020.9558032659,432512916.0
EUU,European Union,2004,314210792152.141,70.3968764065819,11449101966447.2,12107812246876.8,26368.6780464333,434193248.0
EUU,European Union,2005,732553887351.659,73.5521063042338,11954349375612.0,12347980270825.7,27431.4991030834,435789139.0
EUU,European Union,2006,914388369612.78,77.9839957210495,12768357074578.4,12788499501424.8,29200.5809467343,437263803.0
EUU,European Union,2007,1479575647574.99,79.7970825624113,14789471689508.0,13190293140115.9,33704.6636441399,438796003.0
EUU,European Union,2008,825460956900.288,80.7845229076774,16364455236166.7,13271807422071.9,37169.0746850842,440270719.0
EUU,European Union,2009,585517909000.086,70.5061117229528,14844813523140.0,12699515364509.5,33632.0748456258,441388573.0
EUU,European Union,2010,480128559624.506,78.282201525606,14641773544950.6,12976593517674.0,33119.5673211775,442088310.0
EUU,European Union,2011,903651733603.218,83.4716468978193,15874713437636.1,13231012723603.5,35963.3147849808,441414078.0
EUU,European Union,2012,582411385398.083,85.0872994138992,14731876146120.7,13129872603290.2,33324.7709896821,442069839.0
EUU,European Union,2013,613498236804.181,84.7802544688451,15398507628838.6,13125534418029.3,34804.7281200997,442425741.0
EUU,European Union,2014,468473023861.312,85.494561926335,15763596442222.6,13339837928675.8,35590.1004559069,442920819.0
EUU,European Union,2015,849890812406.505,86.6784748227273,13656252620703.3,13656252620703.3,30771.6568591261,443793218.0
EUU,European Union,2016,729126074548.51,85.784351990334,13988147697216.6,13918449980505.1,31456.8971280656,444676652.0
EUU,European Union,2017,591455183723.147,88.7153567222581,14871313684625.8,14310687274644.1,33394.5888043692,445321060.0
EUU,European Union,2018,133983702758.315,90.4287944304584,16092403309151.5,14603544059407.1,36054.953230113,446329890.0
EUU,European Union,2019,582178363188.55,90.5535185606555,15809073096211.4,14877396575749.2,35374.1403676934,446910453.0
EUU,European Union,2020,178618904096.684,83.8178454761989,15504055464107.4,14047404390856.4,34694.7035869195,446870959.0
EUU,European Union,2021,684481966450.194,91.2031115580478,17495226733585.2,14943312743921.6,39206.9791776084,446227358.0
EUU,European Union,2022,238778768818.174,103.706433693426,17023612496380.4,15475526647498.2,38066.8844892624,447202673.0
EUU,European Union,2023,-257265650199.722,95.2160371763138,18659133072074.8,15545835479247.4,41566.5741100785,448897545.0
EUU,European Union,2024,298211533521.557,91.6513434875625,19497115588443.6,15711329898680.8,43304.9642561331,450228188.0
IDN,Indonesia,2000,-4550355285.71428,71.4368759173731,165021012077.81,395012382597.556,763.711124950924,216077790.0
IDN,Indonesia,2001,-2977391857.14286,69.7932075256238,160446947784.909,409404526219.842,732.307093405708,219097902.0
IDN,Indonesia,2002,145085548.722222,59.0794617663723,195660611165.183,427825582126.161,881.002913569131,222088495.0
IDN,Indonesia,2003,-596923827.786241,53.6164937473016,234772463823.808,448277224148.753,1043.2105838671,225048008.0
IDN,Indonesia,2004,1896082770.0,59.761294836691,256836875295.452,470829486219.898,1126.84004447173,227926649.0
IDN,Indonesia,2005,8336257207.64285,63.9879358688635,285868619196.085,497631790442.44,1238.21447629488,230871650.0
IDN,Indonesia,2006,4914201435.40071,56.6571268148867,364570515618.357,525006275302.523,1558.31562847163,233951652.0
IDN,Indonesia,2007,6928480000.0,54.8292499782075,432216737774.861,558318040161.892,1823.21976255073,237062337.0
IDN,Indonesia,2008,9318453649.82664,58.5613996312961,510228634992.258,591893632243.067,2124.55483920618,240157903.0
IDN,Indonesia,2009,4877369178.4365,45.5121213687054,539580085612.401,619291626017.383,2218.48541852977,243220028.0
IDN,Indonesia,2010,15292009410.5099,46.7012738758737,755094157621.936,657835433773.518,3065.68348377765,246305322.0
IDN,Indonesia,2011,20564938226.7185,50.1800131841104,892969104563.171,698422460479.197,3579.46442466152,249470032.0
IDN,Indonesia,2012,21200778607.8726,49.5828982992627,917869913332.649,740537688618.414,3632.27254030331,252698525.0
IDN,Indonesia,2013,23281742361.5305,48.6373726752893,912524136718.018,781691320690.699,3566.60284506078,255852467.0
IDN,Indonesia,2014,25120732059.5134,48.0801755855227,890814755533.537,820828013230.588,3441.06808464008,258877399.0
IDN,Indonesia,2015,19779127976.9576,41.9376402415294,860854232686.214,860854232686.214,3288.22269725538,261799249.0
IDN,Indonesia,2016,4541713739.23769,37.4213418023318,931877364037.698,904181621780.388,3521.46943457574,264627418.0
IDN,Indonesia,2017,20510310832.4469,39.3554970704606,1015618744159.73,950021694164.001,3798.88326174526,267346658.0
IDN,Indonesia,2018,18909826043.5105,43.0743089552002,1042271532988.63,999178586309.021,3860.95353090726,269951846.0
IDN,Indonesia,2019,24993551748.0098,37.6277775357108,1119099871350.2,1049330233997.45,4106.94856160358,272489381.0
IDN,Indonesia,2020,19175077747.8077,32.9721754002427,1059054842698.48,1027656193885.38,3853.70288774146,274814866.0
IDN,Indonesia,2021,21213080329.8582,40.2047582749671,1186509691086.73,1065709127396.86,4287.17313995098,276758053.0
IDN,Indonesia,2022,24702029705.0926,45.4646701959453,1319101183380.15,1122268412650.2,4730.83484836107,278830529.0
IDN,Indonesia,2023,21543358781.3828,41.3362868707652,1371169301563.62,1178932006499.5,4876.30774512252,281190067.0
IDN,Indonesia,2024,24275445280.2272,42.572647301834,1396300098190.97,1238236350136.56,4925.43048751861,283487931.0
JPN,Japan,2000,10688168325.6084,19.5623715839054,4968359075956.59,3986755544463.82,39169.3595701504,126843000.0
JPN,Japan,2001,4926033619.1846,19.5596044720071,4374711694090.87,4002148544212.9,34406.1824638092,127149000.0
JPN,Japan,2002,11557373873.9418,20.4471220661583,4182846045873.61,4003827945767.2,32820.7936433254,127445000.0
JPN,Japan,2003,8771535612.31507,21.3261252678119,4519561645253.53,4065291729517.45,35387.0374203599,127718000.0
JPN,Japan,2004,7527948175.22323,23.6643534228975,4893116005656.56,4154163710039.3,38298.9801712303,127761000.0
JPN,Japan,2005,5459618342.94078,26.2299545778565,4831467035389.8,4229100705435.58,37812.8950199948,127773000.0
JPN,Japan,2006,-2396909736.30511,30.0163760986692,4601663122649.92,4287138774362.24,35991.546002862,127854000.0
JPN,Japan,2007,21631204435.6846,32.816578051879,4579750920354.81,4350758602405.54,35779.0245416427,128001000.0
JPN,Japan,2008,24624845329.5647,34.1294765412245,5106679115127.3,4297492743392.88,39876.3039685725,128063000.0
JPN,Japan,2009,12226471578.7438,24.3901665338555,5289493117993.89,4052826324003.77,41308.9968370512,128047000.0
JPN,Japan,2010,7440979284.16285,28.4984726938389,5759071769013.11,4218907820178.57,44968.1562349739,128070000.0
JPN,Japan,2011,-850717035.068238,30.1949607286296,6233147172341.35,4219912322040.1,48760.0789494211,127833000.0
JPN,Japan,2012,546962692.190725,30.4709109171752,6272362996105.03,4277925608846.49,49145.2804308193,127629000.0
JPN,Japan,2013,10648441636.2071,33.9787686509511,5212328181166.18,4363702302793.37,40898.6478964744,127445000.0
JPN,Japan,2014,19752249424.087,37.4314345686579,4896994405353.29,4376627829634.98,38475.3952461838,127276000.0
JPN,Japan,2015,5252218412.39171,35.4274083544798,4444930651964.18,4444930651964.18,34960.6393843385,127141000.0
JPN,Japan,2016,40954181468.5533,31.3102468455884,5003677627544.24,4478437728050.46,39375.4731620781,127076000.0
JPN,Japan,2017,18802251208.1068,34.4232135721686,4930837369151.42,4553466417290.11,38834.0529341227,126972000.0
JPN,Japan,2018,25289367857.8518,36.609931802107,5040880939324.86,4582763011478.55,39751.1330982711,126811000.0
JPN,Japan,2019,39960544340.0141,35.2164181084145,5117993853016.51,4564332550096.38,40415.9567649547,126633000.0
JPN,Japan,2020,62584719398.0912,31.335208636773,5054068005376.28,4374056271824.01,40028.7341726762,126261000.0
JPN,Japan,2021,35027163875.7213,36.7384462280698,5039148168861.22,4492005937826.88,40094.5599795288,125681593.0
JPN,Japan,2022,48153832744.0586,46.8129868368938,4262463317796.53,4534320578755.85,34065.6438962526,125124989.0
JPN,Japan,2023,19982140844.5082,45.1508795641248,4213167237905.83,4601203385713.7,33836.1756271617,124516650.0
JPN,Japan,2024,16160318365.9944,46.4069516150859,4027597523550.58,4606002855955.13,32487.0778047567,123975371.0
KHM,Cambodia,2000,118308566.31088,110.397125303731,3694168979.32019,7459479704.67578,296.426687526334,12462336.0
KHM,Cambodia,2001,146481995.063844,111.771741244001,4145665969.92864,8010713670.8994,327.500984314444,12658484.0
KHM,Cambodia,2002,130956363.872694,118.269562072288,4501227626.62752,8512590714.58905,350.147276634294,12855241.0
KHM,Cambodia,2003,81580650.5580651,120.074969093599,5046693484.31767,9387998414.66106,386.691123931778,13050968.0
KHM,Cambodia,2004,131416229.281784,131.351481056276,5883297159.87352,10275886653.5849,444.199067529081,13244731.0
KHM,Cambodia,2005,379180190.600282,133.551965265648,7066296463.3598,11642922159.7044,525.797325120926,13439202.0
KHM,Cambodia,2006,483209382.712787,140.348734318483,8350531016.65753,12917049054.0975,612.252648550727,13639028.0
KHM,Cambodia,2007,867288538.643543,133.700023826819,10127916459.8983,14260222987.8994,731.692295125426,13841770.0
KHM,Cambodia,2008,815180217.958376,130.393510678736,12174303999.0812,15326369460.3469,866.283999789749,14053479.0
KHM,Cambodia,2009,928393617.348897,102.2879490147,12502901169.7377,15950885068.8658,875.748936193569,14276810.0
KHM,Cambodia,2010,1404315448.88529,109.998400607758,13808673288.0696,16760698493.0409,952.274616324008,14500726.0
KHM,Cambodia,2011,1538883424.9002,109.790505166814,16032622023.8265,17981993293.903,1088.98152823081,14722584.0
KHM,Cambodia,2012,1988102944.64495,116.740233418212,17826536699.8016,19357661918.8519,1192.80263041673,14945085.0
KHM,Cambodia,2013,2068470774.00468,124.887552768657,19807135252.8649,20878690156.7817,1305.6600972686,15170208.0
KHM,Cambodia,2014,1853471158.0992,124.454908526693,22041463967.9009,22549052336.9265,1431.56396469993,15396772.0
KHM,Cambodia,2015,1822804151.25711,122.109596815379,24174170369.0738,24174170369.0738,1547.32010444393,15623251.0
KHM,Cambodia,2016,2475915853.65762,122.704555602667,26556545153.3573,26085259688.3373,1675.19555711109,15852803.0
KHM,Cambodia,2017,2788084321.65815,121.155451298689,29355665909.7905,28191654621.9478,1826.35391688754,16073372.0
KHM,Cambodia,2018,3212633447.04469,118.43765541305,33145892168.8958,30665817313.8491,2036.67377566578,16274522.0
KHM,Cambodia,2019,3663032999.47048,115.736679072448,36685356407.7206,33099747942.811,2225.87705485686,16481304.0
KHM,Cambodia,2020,3624644990.13295,122.105396346568,34818073901.4851,31922812945.0881,2081.73914242939,16725474.0
KHM,Cambodia,2021,3483461605.65372,146.179846509715,36790163687.4421,32909177695.673,2167.40324198499,16974305.0
KHM,Cambodia,2022,3578831295.87392,145.873632761406,39994532959.6074,34597385966.8314,2325.03050040841,17201724.0
KHM,Cambodia,2023,3958792378.8864,134.206842395931,42335646895.7984,36329791405.1421,2429.74853452838,17423880.0
KHM,Cambodia,2024,4394647334.3021,143.447009703011,46352647037.2406,38500536184.9646,2627.87969756224,17638801.0
KOR,"Korea, Rep.",2000,11509400000.0,64.0588155729056,597487173479.109,835011437852.054,12710.2995795579,47008111.0
KOR,"Korea, Rep.",2001,6522300000.0,60.4277386641693,567564806235.441,874473540684.493,11981.4828218758,47370164.0
KOR,"Korea, Rep.",2002,5475100000.0,56.6688767960273,650014391470.21,942192762521.074,13642.9424537101,47644736.0
KOR,"Korea, Rep.",2003,7010000000.0,59.4242945541732,728516494684.269,971162614185.718,15211.5483770422,47892330.0
KOR,"Korea, Rep.",2004,13294400000.0,67.9270638751076,823251107638.814,1021504157422.6,17121.6301633201,48082519.0
KOR,"Korea, Rep.",2005,13643200000.0,66.1695148242697,971740329983.878,1066023726231.41,20167.0474902506,48184561.0
KOR,"Korea, Rep.",2006,9161900000.0,68.3749509402263,1095175538508.19,1121936729365.41,22609.7059431449,48438292.0
KOR,"Korea, Rep.",2007,8826900000.0,71.3239614988013,1220911904593.06,1187479862374.9,25078.4853957105,48683638.0
KOR,"Korea, Rep.",2008,11187500000.0,92.0833544961819,1091580692542.34,1223156560996.14,22252.3125108061,49054708.0
KOR,"Korea, Rep.",2009,9021900000.0,83.1246099057162,983065242417.36,1233184753860.86,19937.3029137734,49307835.0
KOR,"Korea, Rep.",2010,9497400000.0,88.0278677123124,1192830015737.68,1319281537670.41,24071.2620526362,49554112.0
KOR,"Korea, Rep.",2011,9773000000.0,101.68061646213,1307103477219.1,1367937063745.25,26175.2398553363,49936638.0
KOR,"Korea, Rep.",2012,9495900000.0,101.51727207905,1335343586437.67,1402787524457.73,26600.5477433903,50199853.0
KOR,"Korea, Rep.",2013,12766600000.0,94.1675235855873,1434669686501.84,1448958816285.78,28449.3591104972,50428893.0
KOR,"Korea, Rep.",2014,9273600000.0,86.9342577972039,1556252422020.44,1495538208413.16,30667.0912467447,50746659.0
KOR,"Korea, Rep.",2015,4104100000.0,75.3881774564907,1539212301135.55,1539212301135.55,30171.7906545222,51014947.0
KOR,"Korea, Rep.",2016,12104300000.0,69.8997221316919,1579150518945.44,1588028842393.05,30832.0628072516,51217803.0
KOR,"Korea, Rep.",2017,17912900000.0,73.1921408264016,1710196756713.17,1642548917819.59,33296.9845439195,51361911.0
KOR,"Korea, Rep.",2018,12182600000.0,74.7075162140824,1824251454306.83,1694718171579.25,35363.9508228687,51585058.0
KOR,"Korea, Rep.",2019,9634300000.0,71.4470632403511,1751045752054.63,1733930596323.25,33826.9443301597,51764822.0
KOR,"Korea, Rep.",2020,8764900000.0,65.544957860621,1744070276373.34,1721788880530.99,33645.7719545073,51836239.0
KOR,"Korea, Rep.",2021,22060400000.0,75.3063047610912,1942313560965.9,1801214449834.76,37518.4635305697,51769539.0
KOR,"Korea, Rep.",2022,25044700000.0,90.5851475278549,1799363116866.52,1850343736945.76,34822.4048404971,51672569.0
KOR,"Korea, Rep.",2023,18599100000.0,82.2580090716629,1844800934391.54,1879634949821.72,35674.095995632,51712619.0
KOR,"Korea, Rep.",2024,12862500000.0,84.6424951192038,1875388209406.8,1917295522781.86,36238.639908315,51751065.0
LAO,Lao PDR,2000,33890000.0,68.8373013678325,1731198022.46763,4981659930.07599,318.749852236965,5431212.0
LAO,Lao PDR,2001,23904284.1333333,65.8994368798482,1768619058.34647,5268175760.92381,320.316005439568,5521482.0
LAO,Lao PDR,2002,4451297.0311068,67.2549028523532,1758176653.07746,5579985581.01999,313.350817148131,5610889.0
LAO,Lao PDR,2003,19484000.8001106,60.572095882788,2023324407.28414,5918523434.75225,355.097216151461,5697945.0
LAO,Lao PDR,2004,16917263.0,66.0797516222837,2366398119.86321,6294805131.65111,409.296298284117,5781626.0
LAO,Lao PDR,2005,27720000.0,71.7926462737852,2735558734.7379,6742212710.02267,466.061506997741,5869523.0
LAO,Lao PDR,2006,187310641.0,81.9613754162421,3455030060.9785,7323341971.83126,579.391947440719,5963200.0
LAO,Lao PDR,2007,323520000.0,79.2126289035269,4223152739.04052,7879683723.91001,697.323013673925,6056236.0
LAO,Lao PDR,2008,227770000.0,81.8491820941317,5446433157.40114,8496261313.36707,885.747376088762,6148969.0
LAO,Lao PDR,2009,318598209.09,76.930826218652,5836137329.63305,9133631713.05317,935.03237283283,6241642.0
LAO,Lao PDR,2010,278805903.12,84.7203378916677,7131771014.70456,9912447859.53224,1125.91610151261,6334194.0
LAO,Lao PDR,2011,300743507.13,91.6986958680216,8750104617.17303,10709275115.0696,1361.54704394913,6426590.0
LAO,Lao PDR,2012,617755394.539664,98.1851264313662,10192846339.4029,11568812077.4386,1563.5650771337,6518978.0
LAO,Lao PDR,2013,681397257.103792,98.1791466159604,11983252626.5452,12497359667.4702,1812.51774424651,6611385.0
LAO,Lao PDR,2014,867646121.708671,99.0597382933399,13279245886.3854,13448654116.2974,1981.03910900473,6703172.0
LAO,Lao PDR,2015,1077759914.58895,85.798321703681,14426380125.6488,14426380125.6488,2121.01339097363,6801645.0
LAO,Lao PDR,2016,935296172.783646,75.0918909204124,15912501722.6143,15439521179.3987,2303.22156035363,6908802.0
LAO,Lao PDR,2017,1686287305.36006,,17071155481.4994,16503694943.2856,2432.43059478511,7018147.0
LAO,Lao PDR,2018,1358019506.22958,,18141641089.7963,17534839203.1116,2545.1075420815,7128045.0
LAO,Lao PDR,2019,755524124.249368,,18740561512.5555,18491844275.7106,2589.32081035237,7237636.0
LAO,Lao PDR,2020,967706086.202045,,18981805250.2424,18584864138.19,2583.77730696131,7346533.0
LAO,Lao PDR,2021,1071913715.60885,,18827148530.9347,19054754737.3799,2526.05105018529,7453194.0
LAO,Lao PDR,2022,726273736.492143,,15468785203.7532,19570648221.6862,2046.40440255621,7559007.0
LAO,Lao PDR,2023,1781176779.47452,,15843155731.2552,20303702352.295,2066.94979776957,7664993.0
LAO,Lao PDR,2024,988457806.788528,,16502933121.3379,21142284373.3842,2123.97909415109,7769819.0
MMR,Myanmar,2000,254789765.469466,,8905066163.58643,13523413252.2448,196.619580625284,45290841.0
MMR,Myanmar,2001,208303564.372066,,6477790688.22844,15057508855.3381,141.525660705722,45771139.0
MMR,Myanmar,2002,150511225.813866,,6777632512.0781,16868251605.5673,146.598390364449,46232653.0
MMR,Myanmar,2003,248882510.026366,,10467109977.6717,19203491833.3034,224.292688912409,46667192.0
MMR,Myanmar,2004,211364294.975748,,10567354056.4049,21808380519.0128,224.508811413327,47068772.0
MMR,Myanmar,2005,234904379.027598,,11986972418.5103,24767548772.168,252.685193060728,47438365.0
MMR,Myanmar,2006,275812653.011391,,14502553709.8303,28006178558.7687,303.495087119254,47785135.0
MMR,Myanmar,2007,709922015.309805,,20182477480.5512,31364521323.9023,419.375780725042,48125043.0
MMR,Myanmar,2008,863880447.312828,,31862554101.9378,34581048770.7151,658.442487229705,48390793.0
MMR,Myanmar,2009,1078972200.98264,,36906181380.8127,38229352561.5845,758.442935789255,48660459.0
MMR,Myanmar,2010,901133534.876797,,49540813342.4834,41912536387.039,1010.53417343401,49024382.0
MMR,Myanmar,2011,2519813313.27459,,59977326085.9908,44256068473.3923,1213.62898703376,49419820.0
MMR,Myanmar,2012,1333856137.27031,,59937796648.2158,47501220127.3631,1202.6658960055,49837446.0
MMR,Myanmar,2013,2254603965.49345,,60269732854.827,51503673422.1907,1199.09561597055,50262658.0
MMR,Myanmar,2014,2175015283.77713,,65531374210.3224,55711475877.0092,1293.00042319714,50681634.0
MMR,Myanmar,2015,4083839111.71186,,59607290408.4359,59607290408.4359,1166.73305547935,51089056.0
MMR,Myanmar,2016,3278096409.87385,,63298361983.5653,63101751664.1065,1229.19713491328,51495696.0
MMR,Myanmar,2017,4804272487.31986,,66053040475.0257,66973743449.8257,1272.82241815234,51894938.0
MMR,Myanmar,2018,1768195522.55912,,67860515993.1186,71172235146.7291,1298.21310327675,52272247.0
MMR,Myanmar,2019,1735589412.93376,,75065106243.3578,75854734834.642,1425.98954241668,52640713.0
MMR,Myanmar,2020,1907154040.0,,79006113670.2831,68991135074.4517,1490.21683599469,53016522.0
MMR,Myanmar,2021,2066606470.0,,66345291149.4433,60700903303.7127,1242.7213439951,53387102.0
MMR,Myanmar,2022,1238500000.0,,62253049903.28,63151698290.198,1158.05005055976,53756787.0
MMR,Myanmar,2023,1520172000.0,,66757619000.0,63756973611.1702,1233.19666209269,54133798.0
MMR,Myanmar,2024,1095317000.0,,74068349523.8095,63137226235.7415,1359.05001560107,54500091.0
MYS,Malaysia,2000,3787631578.94736,220.406788982074,93789736842.1053,148271359064.948,4083.52874483605,22967816.0
MYS,Malaysia,2001,553947368.421052,203.364636010653,92783947368.4211,149038923296.259,3943.79943910239,23526538.0
MYS,Malaysia,2002,3192894736.8421,199.356232695655,100845526315.789,157073594223.932,4184.03163773539,24102477.0
MYS,Malaysia,2003,3218947368.42105,194.195129056831,110202368421.053,166165798103.902,4465.32194567208,24679602.0
MYS,Malaysia,2004,4376052631.57894,210.374265897124,124749473684.211,177437551536.374,4939.24851854427,25256772.0
MYS,Malaysia,2005,3924786634.73868,203.854644595624,143534405818.501,186898768708.901,5555.58179951206,25836071.0
MYS,Malaysia,2006,7690731245.66746,202.577146840398,162692258307.056,197336779111.682,6158.40785533236,26417909.0
MYS,Malaysia,2007,9071369834.83859,192.465506357652,193549569477.733,209766600383.972,7168.93031942508,26998389.0
MYS,Malaysia,2008,7572512432.33634,176.668324785148,230811614370.384,219902039818.778,8371.82156086005,27570059.0
MYS,Malaysia,2009,114664434.56228,162.558970452699,202257453036.641,216573759299.08,7191.43287234626,28124778.0
MYS,Malaysia,2010,10885801851.6194,157.944764886771,255017638455.59,232654030399.227,8899.34505544675,28655776.0
MYS,Malaysia,2011,15119439203.9543,154.937684607226,297951668674.835,244970531973.676,10217.1068585031,29162039.0
MYS,Malaysia,2012,8895774250.70401,147.841754766013,314443047642.111,258378881826.473,10600.5744240026,29662831.0
MYS,Malaysia,2013,11296279513.9209,142.720991464873,323276235524.415,270506469604.101,10713.6407638899,30174265.0
MYS,Malaysia,2014,10619431582.9781,138.312231176843,338066095097.254,286755041078.03,11013.3107334403,30696137.0
MYS,Malaysia,2015,9857162111.82329,131.37007244526,301355266964.947,301355266964.947,9648.6797937523,31232798.0
MYS,Malaysia,2016,13470089920.807,126.8990100257,301256033870.334,314764917575.088,9476.53409809923,31789685.0
MYS,Malaysia,2017,9368469822.66145,133.155173371956,319109094160.343,333061328477.268,9862.54806612235,32355644.0
