country_iso3,country_name,country_group,year,metric,unit,value
BRN,Brunei Darussalam,ASEAN,2016,fdi_net_inflow_usd,USD,-150550827.310312
BRN,Brunei Darussalam,ASEAN,2016,gdp_constant_2015_usd,USD constant 2015,12609894752.9469
BRN,Brunei Darussalam,ASEAN,2016,gdp_current_usd,USD,11400266044.6651
BRN,Brunei Darussalam,ASEAN,2016,gdp_per_capita_usd,USD,26663.2972950602
BRN,Brunei Darussalam,ASEAN,2016,population,persons,427564.0
BRN,Brunei Darussalam,ASEAN,2016,trade_pct_gdp,% of GDP,87.319801332806
BRN,Brunei Darussalam,ASEAN,2017,fdi_net_inflow_usd,USD,467927550.316566
BRN,Brunei Darussalam,ASEAN,2017,gdp_constant_2015_usd,USD constant 2015,12777445780.0952
BRN,Brunei Darussalam,ASEAN,2017,gdp_current_usd,USD,12128168045.1245
BRN,Brunei Darussalam,ASEAN,2017,gdp_per_capita_usd,USD,28024.3824580252
BRN,Brunei Darussalam,ASEAN,2017,population,persons,432772.0
BRN,Brunei Darussalam,ASEAN,2017,trade_pct_gdp,% of GDP,85.1768604269985
BRN,Brunei Darussalam,ASEAN,2018,fdi_net_inflow_usd,USD,516202620.629746
BRN,Brunei Darussalam,ASEAN,2018,gdp_constant_2015_usd,USD constant 2015,12784137461.5724
BRN,Brunei Darussalam,ASEAN,2018,gdp_current_usd,USD,13566908391.0895
BRN,Brunei Darussalam,ASEAN,2018,gdp_per_capita_usd,USD,30988.1190267227
BRN,Brunei Darussalam,ASEAN,2018,population,persons,437810.0
BRN,Brunei Darussalam,ASEAN,2018,trade_pct_gdp,% of GDP,93.8980617666778
BRN,Brunei Darussalam,ASEAN,2019,fdi_net_inflow_usd,USD,373256767.246304
BRN,Brunei Darussalam,ASEAN,2019,gdp_constant_2015_usd,USD constant 2015,13278735842.9555
BRN,Brunei Darussalam,ASEAN,2019,gdp_current_usd,USD,13469235364.7032
BRN,Brunei Darussalam,ASEAN,2019,gdp_per_capita_usd,USD,30426.5730656528
BRN,Brunei Darussalam,ASEAN,2019,population,persons,442680.0
BRN,Brunei Darussalam,ASEAN,2019,trade_pct_gdp,% of GDP,108.509658357959
BRN,Brunei Darussalam,ASEAN,2020,fdi_net_inflow_usd,USD,565542275.429332
BRN,Brunei Darussalam,ASEAN,2020,gdp_constant_2015_usd,USD constant 2015,13429260053.625
BRN,Brunei Darussalam,ASEAN,2020,gdp_current_usd,USD,12005799653.9835
BRN,Brunei Darussalam,ASEAN,2020,gdp_per_capita_usd,USD,26834.3592233943
BRN,Brunei Darussalam,ASEAN,2020,population,persons,447404.0
BRN,Brunei Darussalam,ASEAN,2020,trade_pct_gdp,% of GDP,110.291003658452
BRN,Brunei Darussalam,ASEAN,2021,fdi_net_inflow_usd,USD,206462739.392454
