AidData Record ID,Recommended For Aggregates,Umbrella,Recipient,Recipient ISO-3,Commitment Year,Status,Flow Class,Sector Code,Sector Name,Funding Agencies,Amount (Constant USD 2021),Amount (Nominal USD),Adjusted Amount (Constant USD 2021)
63267,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Unspecified Chinese Government Institution,2748314.4710627,1829757.71315206,2748314.4710627
63275,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Unspecified Chinese Government Institution,2462489.76607218,1639462.91098424,2462489.76607218
63279,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Unspecified Chinese Government Institution,2462489.76607218,1639462.91098424,2462489.76607218
63282,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Unspecified Chinese Government Institution,8794606.30740065,5855224.6820866,8794606.30740065
63399,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Unspecified Chinese Government Institution,9124404.04392818,6074795.60766485,9124404.04392818
63400,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Unspecified Chinese Government Institution,5122858.17406088,3410668.37731544,5122858.17406088
63401,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",China Ministry of Commerce,3847640.25948778,2561660.79841289,3847640.25948778
63652,Yes,No,Viet Nam,VNM,2009,Completion,Vague (Official Finance),320,"INDUSTRY, MINING, CONSTRUCTION",Bank of China (BOC),52570351.6896177,35000000.0,52570351.6896177
63663,Yes,No,Viet Nam,VNM,2009,Completion,OOF-like,320,"INDUSTRY, MINING, CONSTRUCTION",Export-Import Bank of China (China Eximbank),43558291.3999689,29000000.0,43558291.3999689
63670,Yes,No,Viet Nam,VNM,2009,Completion,OOF-like,320,"INDUSTRY, MINING, CONSTRUCTION",Bank of China (BOC),,,
64398,Yes,No,Viet Nam,VNM,2009,Completion,OOF-like,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,China Ministry of Commerce,439730.315370032,292761.23410433,439730.315370032
64463,Yes,No,Viet Nam,VNM,2009,Completion,OOF-like,320,"INDUSTRY, MINING, CONSTRUCTION",Export-Import Bank of China (China Eximbank),69392864.2302954,46200000.0,69392864.2302954
64489,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,230,ENERGY,Unspecified Chinese Government Institution,3297977.36527524,2195709.25578247,3297977.36527524
92150,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Bank of China (BOC),103650314.457804,69007737.05,103650314.457804
98496,Yes,No,Viet Nam,VNM,2009,Completion,OOF-like,110,EDUCATION,National Library of China (NLC),,,
39026,Yes,No,Brunei Darussalam,BRN,2008,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
32202,Yes,No,Cambodia,KHM,2008,Completion,OOF-like,230,ENERGY,Export-Import Bank of China (China Eximbank),71807996.9238002,47100000.0,71807996.9238002
32454,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,210,TRANSPORT AND STORAGE,Unspecified Chinese Government Institution,914751.55316943,600000.0,914751.55316943
32456,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Unspecified Chinese Government Institution,21344.2029072867,14000.0,21344.2029072867
