t,asean_country,partner_group,direction,trade_usd_thousands,trade_usd_millions
2019,LAO,JPN,partner_to_asean,127173.26800000004,127.17326800000004
2019,LAO,KOR,asean_to_partner,40799.979000000014,40.799979000000015
2019,LAO,KOR,partner_to_asean,96079.63199999993,96.07963199999992
2019,LAO,USA,asean_to_partner,153940.49300000007,153.9404930000001
2019,LAO,USA,partner_to_asean,66959.47700000001,66.959477
2019,MMR,CHN,asean_to_partner,5602627.709999995,5602.627709999995
2019,MMR,CHN,partner_to_asean,10493788.104999991,10493.78810499999
2019,MMR,EU,asean_to_partner,3596040.360000002,3596.0403600000022
2019,MMR,EU,partner_to_asean,939069.5430000002,939.0695430000002
2019,MMR,GBR,asean_to_partner,536970.8840000001,536.9708840000001
2019,MMR,GBR,partner_to_asean,60522.971,60.522971
2019,MMR,JPN,asean_to_partner,1593949.2250000015,1593.9492250000014
2019,MMR,JPN,partner_to_asean,770324.2079999998,770.3242079999998
2019,MMR,KOR,asean_to_partner,683092.3830000003,683.0923830000003
2019,MMR,KOR,partner_to_asean,719685.3470000001,719.6853470000001
2019,MMR,USA,asean_to_partner,986269.9049999998,986.2699049999998
2019,MMR,USA,partner_to_asean,455462.9739999992,455.4629739999992
2019,MYS,CHN,asean_to_partner,61656722.56600009,61656.72256600009
2019,MYS,CHN,partner_to_asean,45185529.86499991,45185.52986499991
2019,MYS,EU,asean_to_partner,25167258.921999995,25167.258921999994
2019,MYS,EU,partner_to_asean,14909169.195999995,14909.169195999995
2019,MYS,GBR,asean_to_partner,2432231.8189999987,2432.2318189999987
2019,MYS,GBR,partner_to_asean,1731360.5690000032,1731.3605690000031
2019,MYS,JPN,asean_to_partner,16905790.972999983,16905.79097299998
2019,MYS,JPN,partner_to_asean,14810160.019999994,14810.160019999994
2019,MYS,KOR,asean_to_partner,9010252.83200001,9010.25283200001
2019,MYS,KOR,partner_to_asean,9188120.152,9188.120152000001
2019,MYS,USA,asean_to_partner,39964000.20800007,39964.00020800007
2019,MYS,USA,partner_to_asean,16164964.382,16164.964382
2019,PHL,CHN,asean_to_partner,16615947.618000004,16615.947618000006
2019,PHL,CHN,partner_to_asean,26432013.15700003,26432.01315700003
2019,PHL,EU,asean_to_partner,8598383.546999998,8598.383546999998
2019,PHL,EU,partner_to_asean,8281467.165999994,8281.467165999993
2019,PHL,GBR,asean_to_partner,697808.0290000004,697.8080290000005
2019,PHL,GBR,partner_to_asean,989585.4949999996,989.5854949999997
2019,PHL,JPN,asean_to_partner,11098973.102000006,11098.973102000005
2019,PHL,JPN,partner_to_asean,11096804.361,11096.804361
2019,PHL,KOR,asean_to_partner,3704691.1230000006,3704.6911230000005
2019,PHL,KOR,partner_to_asean,8996963.858000014,8996.963858000014
2019,PHL,USA,asean_to_partner,13390919.942000002,13390.919942000002
2019,PHL,USA,partner_to_asean,8344632.648000008,8344.632648000008
2019,SGP,CHN,asean_to_partner,37141722.8299999,37141.722829999904
2019,SGP,CHN,partner_to_asean,50439265.16200001,50439.26516200001
2019,SGP,EU,asean_to_partner,21360998.253999997,21360.998254
2019,SGP,EU,partner_to_asean,31376489.828000024,31376.489828000023
2019,SGP,GBR,asean_to_partner,2388235.8200000026,2388.2358200000026
2019,SGP,GBR,partner_to_asean,8573577.36700002,8573.57736700002
2019,SGP,JPN,asean_to_partner,9555520.704999993,9555.520704999992
2019,SGP,JPN,partner_to_asean,20794983.30700001,20794.98330700001
2019,SGP,KOR,asean_to_partner,7152381.596000005,7152.381596000005
2019,SGP,KOR,partner_to_asean,14969807.699000014,14969.807699000014
2019,SGP,USA,asean_to_partner,23408629.35900004,23408.62935900004
2019,SGP,USA,partner_to_asean,33783448.77999996,33783.448779999955
