country_iso3,year,partner_group,direction,metric,value_usd_millions,source
BRN,2015,JPN,partner_to_asean,trade_goods,245.32212500000003,BACI HS07 V202601
BRN,2015,KOR,partner_to_asean,fdi_flow,-2.406024,OECD BMD4 (fdi_flow)
BRN,2015,KOR,partner_to_asean,fdi_position,4.4962578,OECD BMD4 (fdi_position)
BRN,2015,KOR,asean_to_partner,trade_goods,918.8740659999996,BACI HS07 V202601
BRN,2015,KOR,partner_to_asean,trade_goods,305.2295740000002,BACI HS07 V202601
BRN,2015,USA,partner_to_asean,fdi_flow,-3.0,BEA USDIA
BRN,2015,USA,partner_to_asean,fdi_position,10.0,BEA USDIA
BRN,2015,USA,asean_to_partner,trade_goods,58.88273600000003,BACI HS07 V202601
BRN,2015,USA,partner_to_asean,trade_goods,345.68023099999994,BACI HS07 V202601
BRN,2016,CHN,partner_to_asean,china_dev_finance,0.0,AidData GCDF 3.0 (constant 2021 USD)
BRN,2016,CHN,asean_to_partner,trade_goods,222.1273739999996,BACI HS07 V202601
BRN,2016,CHN,partner_to_asean,trade_goods,390.8828209999999,BACI HS07 V202601
BRN,2016,EU,partner_to_asean,fdi_flow,-51.603450182462,OECD BMD4 (fdi_flow)
BRN,2016,EU,partner_to_asean,fdi_position,90.671445339728,OECD BMD4 (fdi_position)
BRN,2016,EU,asean_to_partner,trade_goods,8.741294999999997,BACI HS07 V202601
BRN,2016,EU,partner_to_asean,trade_goods,225.007679,BACI HS07 V202601
BRN,2016,GBR,asean_to_partner,trade_goods,69.52018799999993,BACI HS07 V202601
BRN,2016,GBR,partner_to_asean,trade_goods,148.7681890000001,BACI HS07 V202601
BRN,2016,JPN,asean_to_partner,trade_goods,1741.8054319999997,BACI HS07 V202601
BRN,2016,JPN,partner_to_asean,trade_goods,120.71831499999988,BACI HS07 V202601
BRN,2016,KOR,partner_to_asean,fdi_flow,0.98289001,OECD BMD4 (fdi_flow)
BRN,2016,KOR,partner_to_asean,fdi_position,4.7360182,OECD BMD4 (fdi_position)
BRN,2016,KOR,asean_to_partner,trade_goods,681.1648560000003,BACI HS07 V202601
BRN,2016,KOR,partner_to_asean,trade_goods,112.96602700000004,BACI HS07 V202601
BRN,2016,USA,partner_to_asean,fdi_position,16.0,BEA USDIA
BRN,2016,USA,asean_to_partner,trade_goods,12.057173000000004,BACI HS07 V202601
BRN,2016,USA,partner_to_asean,trade_goods,290.30034400000045,BACI HS07 V202601
BRN,2017,CHN,partner_to_asean,china_dev_finance,0.0092187052561677,AidData GCDF 3.0 (constant 2021 USD)
BRN,2017,CHN,asean_to_partner,trade_goods,330.1962139999993,BACI HS07 V202601
BRN,2017,CHN,partner_to_asean,trade_goods,716.0655059999999,BACI HS07 V202601
BRN,2017,EU,partner_to_asean,fdi_flow,27.36670049599829,OECD BMD4 (fdi_flow)
BRN,2017,EU,partner_to_asean,fdi_position,96.30127197817299,OECD BMD4 (fdi_position)
BRN,2017,EU,asean_to_partner,trade_goods,11.860355,BACI HS07 V202601
BRN,2017,EU,partner_to_asean,trade_goods,280.10216199999985,BACI HS07 V202601
BRN,2017,GBR,asean_to_partner,trade_goods,16.76675400000002,BACI HS07 V202601
BRN,2017,GBR,partner_to_asean,trade_goods,155.45396800000037,BACI HS07 V202601
BRN,2017,JPN,asean_to_partner,trade_goods,1578.9201839999996,BACI HS07 V202601
BRN,2017,JPN,partner_to_asean,trade_goods,122.72021499999984,BACI HS07 V202601
BRN,2017,KOR,partner_to_asean,fdi_flow,1.165228,OECD BMD4 (fdi_flow)
BRN,2017,KOR,partner_to_asean,fdi_position,5.755136,OECD BMD4 (fdi_position)
BRN,2017,KOR,asean_to_partner,trade_goods,732.9231629999999,BACI HS07 V202601
BRN,2017,KOR,partner_to_asean,trade_goods,92.67146799999986,BACI HS07 V202601
BRN,2017,USA,partner_to_asean,fdi_position,19.0,BEA USDIA
BRN,2017,USA,asean_to_partner,trade_goods,25.893224999999973,BACI HS07 V202601
BRN,2017,USA,partner_to_asean,trade_goods,285.7446420000002,BACI HS07 V202601
BRN,2018,CHN,partner_to_asean,china_dev_finance,1907.237058787681,AidData GCDF 3.0 (constant 2021 USD)
BRN,2018,CHN,asean_to_partner,trade_goods,244.0158419999996,BACI HS07 V202601
BRN,2018,CHN,partner_to_asean,trade_goods,1725.6571829999996,BACI HS07 V202601
BRN,2018,EU,partner_to_asean,fdi_flow,-93.20429487300882,OECD BMD4 (fdi_flow)
BRN,2018,EU,partner_to_asean,fdi_position,61.05335470574709,OECD BMD4 (fdi_position)
BRN,2018,EU,asean_to_partner,trade_goods,8.231912999999999,BACI HS07 V202601
BRN,2018,EU,partner_to_asean,trade_goods,292.198942,BACI HS07 V202601
BRN,2018,GBR,asean_to_partner,trade_goods,14.886236999999996,BACI HS07 V202601
BRN,2018,GBR,partner_to_asean,trade_goods,125.35013399999984,BACI HS07 V202601
BRN,2018,JPN,asean_to_partner,trade_goods,2148.1101010000007,BACI HS07 V202601
BRN,2018,JPN,partner_to_asean,trade_goods,169.28764200000032,BACI HS07 V202601
BRN,2018,KOR,partner_to_asean,fdi_flow,0.045097999,OECD BMD4 (fdi_flow)
BRN,2018,KOR,partner_to_asean,fdi_position,5.8638411,OECD BMD4 (fdi_position)
BRN,2018,KOR,asean_to_partner,trade_goods,563.0794530000002,BACI HS07 V202601
BRN,2018,KOR,partner_to_asean,trade_goods,100.70119800000006,BACI HS07 V202601
BRN,2018,USA,partner_to_asean,fdi_flow,-7.0,BEA USDIA
BRN,2018,USA,partner_to_asean,fdi_position,15.0,BEA USDIA
BRN,2018,USA,asean_to_partner,trade_goods,105.85736499999976,BACI HS07 V202601
BRN,2018,USA,partner_to_asean,trade_goods,335.32795500000003,BACI HS07 V202601
BRN,2019,CHN,partner_to_asean,china_dev_finance,0.0,AidData GCDF 3.0 (constant 2021 USD)
BRN,2019,CHN,asean_to_partner,trade_goods,478.5287119999997,BACI HS07 V202601
BRN,2019,CHN,partner_to_asean,trade_goods,682.3411750000006,BACI HS07 V202601
BRN,2019,EU,partner_to_asean,fdi_flow,22.6788324191203,OECD BMD4 (fdi_flow)
BRN,2019,EU,partner_to_asean,fdi_position,177.02089418108812,OECD BMD4 (fdi_position)
BRN,2019,EU,asean_to_partner,trade_goods,6.430586,BACI HS07 V202601
BRN,2019,EU,partner_to_asean,trade_goods,544.1492359999995,BACI HS07 V202601
BRN,2019,GBR,asean_to_partner,trade_goods,13.380602999999994,BACI HS07 V202601
BRN,2019,GBR,partner_to_asean,trade_goods,135.77726199999995,BACI HS07 V202601
BRN,2019,JPN,asean_to_partner,trade_goods,2403.208292000003,BACI HS07 V202601
BRN,2019,JPN,partner_to_asean,trade_goods,222.6090090000005,BACI HS07 V202601
BRN,2019,KOR,partner_to_asean,fdi_flow,0.03327347,OECD BMD4 (fdi_flow)
BRN,2019,KOR,partner_to_asean,fdi_position,5.7219954,OECD BMD4 (fdi_position)
BRN,2019,KOR,asean_to_partner,trade_goods,396.0681530000001,BACI HS07 V202601
BRN,2019,KOR,partner_to_asean,trade_goods,90.92066300000003,BACI HS07 V202601
BRN,2019,USA,partner_to_asean,fdi_position,10.0,BEA USDIA
BRN,2019,USA,asean_to_partner,trade_goods,41.017242999999965,BACI HS07 V202601
BRN,2019,USA,partner_to_asean,trade_goods,322.8916250000003,BACI HS07 V202601
BRN,2020,CHN,partner_to_asean,china_dev_finance,0.2551195620366586,AidData GCDF 3.0 (constant 2021 USD)
BRN,2020,CHN,asean_to_partner,trade_goods,1508.475677,BACI HS07 V202601
BRN,2020,CHN,partner_to_asean,trade_goods,613.7344590000001,BACI HS07 V202601
BRN,2020,EU,partner_to_asean,fdi_flow,4.9207977207977,OECD BMD4 (fdi_flow)
