country_iso3,country_name,country_group,year,metric,unit,value
AUS,Australia,PARTNER,2018,milex_share_of_gdp_pct,% of GDP,1.8883162649716019
AUS,Australia,PARTNER,2018,milex_share_of_govt_pct,% of govt spending,5.144462038002084
AUS,Australia,PARTNER,2019,milex_constant_2024_usd_millions,"USD millions, constant 2024",29810.47264023605
AUS,Australia,PARTNER,2019,milex_current_usd_millions,"USD millions, current",26079.346314325456
AUS,Australia,PARTNER,2019,milex_per_capita_usd,USD per capita,1030.4167165882939
AUS,Australia,PARTNER,2019,milex_share_of_gdp_pct,% of GDP,1.8722862730159746
AUS,Australia,PARTNER,2019,milex_share_of_govt_pct,% of govt spending,4.834401998623239
AUS,Australia,PARTNER,2020,milex_constant_2024_usd_millions,"USD millions, constant 2024",31267.502402443875
AUS,Australia,PARTNER,2020,milex_current_usd_millions,"USD millions, current",27300.894700619407
AUS,Australia,PARTNER,2020,milex_per_capita_usd,USD per capita,1064.1170180341032
AUS,Australia,PARTNER,2020,milex_share_of_gdp_pct,% of GDP,2.001473296500921
AUS,Australia,PARTNER,2020,milex_share_of_govt_pct,% of govt spending,4.522401553213878
AUS,Australia,PARTNER,2021,milex_constant_2024_usd_millions,"USD millions, constant 2024",33394.85232294425
AUS,Australia,PARTNER,2021,milex_current_usd_millions,"USD millions, current",32718.066816816816
AUS,Australia,PARTNER,2021,milex_per_capita_usd,USD per capita,1266.5874622117633
AUS,Australia,PARTNER,2021,milex_share_of_gdp_pct,% of GDP,1.9734660404895847
AUS,Australia,PARTNER,2021,milex_share_of_govt_pct,% of govt spending,4.7368268598477234
AUS,Australia,PARTNER,2022,milex_constant_2024_usd_millions,"USD millions, constant 2024",33625.166448444186
AUS,Australia,PARTNER,2022,milex_current_usd_millions,"USD millions, current",32445.330432014027
AUS,Australia,PARTNER,2022,milex_per_capita_usd,USD per capita,1244.0137526060098
AUS,Australia,PARTNER,2022,milex_share_of_gdp_pct,% of GDP,1.877107967877591
AUS,Australia,PARTNER,2022,milex_share_of_govt_pct,% of govt spending,5.015675371661906
AUS,Australia,PARTNER,2023,milex_constant_2024_usd_millions,"USD millions, constant 2024",33238.932516455556
AUS,Australia,PARTNER,2023,milex_current_usd_millions,"USD millions, current",32387.98979774595
AUS,Australia,PARTNER,2023,milex_per_capita_usd,USD per capita,1230.5092298382835
AUS,Australia,PARTNER,2023,milex_share_of_gdp_pct,% of GDP,1.8555831996838017
AUS,Australia,PARTNER,2023,milex_share_of_govt_pct,% of govt spending,4.960092740366593
AUS,Australia,PARTNER,2024,milex_constant_2024_usd_millions,"USD millions, constant 2024",34231.448067172016
AUS,Australia,PARTNER,2024,milex_current_usd_millions,"USD millions, current",34231.44806717202
AUS,Australia,PARTNER,2024,milex_per_capita_usd,USD per capita,1287.7948049617776
AUS,Australia,PARTNER,2024,milex_share_of_gdp_pct,% of GDP,1.9021630715704305
AUS,Australia,PARTNER,2024,milex_share_of_govt_pct,% of govt spending,4.896755691322455
